status,roundId,gameweek,home_team_id,home_team_score,away_team_id,away_team_score
Played,4405655,38,3783,0,3767,0
Played,4405655,38,3804,2,3799,1
Played,4405655,38,3766,3,3775,2
Played,4405655,38,3771,2,3789,1
Played,4405655,38,3772,4,3777,0
Played,4405655,38,3779,0,3770,1
Played,4405655,38,3787,1,3774,1
Played,4405655,38,3782,5,3776,0
Played,4405655,38,3780,2,3785,1
Played,4405655,38,3795,0,19830,3
Played,4405655,37,3789,2,3777,0
Played,4405655,37,3770,2,3799,0
Played,4405655,37,3772,4,3780,2
Played,4405655,37,3804,1,3776,2
Played,4405655,37,3782,0,19830,1
Played,4405655,37,3795,1,3787,1
Played,4405655,37,3783,1,3775,4
Played,4405655,37,3767,0,3774,2
Played,4405655,37,3779,3,3766,2
Played,4405655,37,3771,3,3785,3
Played,4405655,36,3771,2,3775,1
Played,4405655,36,3783,1,19830,2
Played,4405655,36,3804,3,3785,1
Played,4405655,36,3777,1,3799,2
Played,4405655,36,3770,0,3787,2
Played,4405655,36,3779,1,3774,2
Played,4405655,36,3780,2,3776,3
Played,4405655,36,3795,0,3766,3
Played,4405655,36,3782,1,3772,3
Played,4405655,36,3789,2,3767,2
Played,4405655,35,3767,2,3785,2
Played,4405655,35,3771,1,3799,1
Played,4405655,35,3780,1,3774,2
Played,4405655,35,3772,3,3804,1
Played,4405655,35,3777,1,3776,3
Played,4405655,35,3789,0,19830,0
Played,4405655,35,3779,1,3775,1
Played,4405655,35,3795,3,3783,1
Played,4405655,35,3770,0,3766,2
Played,4405655,35,3782,1,3787,0
Played,4405655,33,3783,0,3780,0
Played,4405655,34,3772,0,3767,1
Played,4405655,34,3782,2,3795,1
Played,4405655,34,3787,0,3775,1
Played,4405655,34,3779,1,3789,3
Played,4405655,34,19830,1,3785,3
Played,4405655,34,3783,1,3777,1
Played,4405655,34,3780,2,3799,0
Played,4405655,34,3771,5,3776,1
Played,4405655,34,3804,2,3766,5
Played,4405655,34,3770,1,3774,1
Played,4405655,33,19830,1,3767,7
Played,4405655,33,3795,2,3771,3
Played,4405655,33,3772,3,3787,1
Played,4405655,33,3776,2,3785,2
Played,4405655,33,3804,1,3770,1
Played,4405655,33,3777,2,3774,1
Played,4405655,33,3782,1,3779,0
Played,4405655,33,3789,0,3766,3
Played,4405655,33,3799,1,3775,1
Played,4405655,32,3771,0,3787,0
Played,4405655,32,3777,0,3766,5
Played,4405655,32,3775,1,3774,1
Played,4405655,32,3783,0,3789,3
Played,4405655,32,3779,1,3799,1
Played,4405655,32,3772,2,3776,1
Played,4405655,32,3795,0,3785,4
Played,4405655,32,3804,1,3780,0
Played,4405655,32,3770,1,19830,2
Played,4405655,32,3782,1,3767,1
Played,4405655,31,19830,1,3774,1
Played,4405655,31,3780,0,3766,2
Played,4405655,31,3783,1,3787,3
Played,4405655,31,3789,1,3776,0
Played,4405655,31,3782,3,3770,0
Played,4405655,31,3779,2,3777,2
Played,4405655,31,3795,0,3775,2
Played,4405655,31,3772,1,3785,2
Played,4405655,31,3804,1,3771,3
Played,4405655,30,3771,2,3766,3
Played,4405655,30,3782,2,3785,0
Played,4405655,30,3770,1,3777,1
Played,4405655,30,3775,1,3767,2
Played,4405655,30,3795,1,3789,1
Played,4405655,30,3783,0,3799,3
Played,4405655,30,3804,2,3787,2
Played,4405655,30,3780,2,3779,2
Played,4405655,30,3772,0,3774,2
Played,4405655,30,3776,1,19830,2
Played,4405655,31,3799,1,3767,2
Played,4405655,29,3780,1,3771,2
Played,4405655,29,3783,0,3766,1
Played,4405655,29,3775,5,3785,2
Played,4405655,29,3772,0,3799,0
Played,4405655,29,3804,1,3789,1
Played,4405655,29,3776,1,3787,1
Played,4405655,29,3795,0,3770,1
Played,4405655,29,3782,1,3774,1
Played,4405655,29,3777,0,3767,5
Played,4405655,29,3779,1,19830,3
Played,4405655,28,3771,1,3770,1
Played,4405655,28,3787,1,3766,1
Played,4405655,28,3783,2,3779,0
Played,4405655,28,3789,0,3774,2
Played,4405655,28,3799,3,3785,0
Played,4405655,28,3780,1,3777,1
Played,4405655,28,3782,2,3804,2
Played,4405655,28,3795,0,3767,2
Played,4405655,28,3772,1,19830,2
Played,4405655,28,3776,1,3775,2
Played,4405655,27,3771,0,3767,3
Played,4405655,27,3782,1,3766,1
Played,4405655,27,3772,0,3775,0
Played,4405655,27,3804,2,3783,0
Played,4405655,27,3777,2,3785,2
Played,4405655,27,3799,2,3776,1
Played,4405655,27,3770,0,3789,1
Played,4405655,27,3795,0,3774,2
Played,4405655,27,3780,3,19830,3
Played,4405655,27,3779,0,3787,0
Played,4405655,24,3795,0,3804,0
Played,4405655,26,3772,0,3771,1
Played,4405655,26,3776,2,3766,2
Played,4405655,26,3770,1,3775,1
Played,4405655,26,3780,0,3789,0
Played,4405655,26,3782,1,3799,0
Played,4405655,26,3783,2,3774,2
Played,4405655,26,3787,1,3785,1
Played,4405655,26,3795,1,3777,0
Played,4405655,26,3779,2,3767,5
Played,4405655,26,3804,0,19830,4
Played,4405655,25,3766,0,3774,2
Played,4405655,25,3770,2,3776,2
Played,4405655,25,3795,1,3779,2
Played,4405655,25,3799,0,19830,4
Played,4405655,25,3772,3,3789,2
Played,4405655,25,3804,3,3775,2
Played,4405655,25,3783,0,3785,0
Played,4405655,25,3777,0,3787,1
Played,4405655,25,3780,0,3767,1
Played,4405655,25,3782,2,3771,2
Played,4405655,24,19830,3,3766,2
Played,4405655,24,3783,3,3770,2
Played,4405655,24,3774,0,3785,1
Played,4405655,24,3782,2,3789,0
Played,4405655,24,3799,1,3787,2
Played,4405655,24,3780,1,3775,0
Played,4405655,24,3772,2,3779,0
Played,4405655,24,3776,0,3767,3
Played,4405655,24,3771,6,3777,3
Played,4405655,23,3771,2,19830,2
Played,4405655,23,3772,3,3766,1
Played,4405655,23,3779,1,3776,2
Played,4405655,23,3789,0,3799,1
Played,4405655,23,3770,3,3785,0
Played,4405655,23,3777,2,3775,1
Played,4405655,23,3782,2,3783,1
Played,4405655,23,3795,0,3780,1
Played,4405655,23,3787,0,3767,4
Played,4405655,23,3804,2,3774,1
Played,4405655,22,3766,2,3767,1
Played,4405655,22,3777,1,19830,3
Played,4405655,22,3782,0,3775,1
Played,4405655,22,3789,3,3785,1
Played,4405655,22,3780,1,3787,2
Played,4405655,22,3799,0,3774,1
Played,4405655,22,3804,2,3779,3
Played,4405655,22,3795,1,3776,0
Played,4405655,22,3772,1,3770,0
Played,4405655,22,3783,0,3771,2
Played,4405655,21,3804,0,3767,8
Played,4405655,21,3789,1,3787,1
Played,4405655,21,3795,1,3799,3
Played,4405655,21,3766,2,3785,0
Played,4405655,21,3776,1,3774,2
Played,4405655,21,3782,0,3777,3
Played,4405655,21,3780,1,3770,1
Played,4405655,21,19830,2,3775,2
Played,4405655,21,3772,0,3783,2
Played,4405655,21,3771,2,3779,0
Played,4405655,20,3770,0,3767,1
Played,4405655,20,3799,1,3766,1
Played,4405655,20,3782,2,3780,0
Played,4405655,20,3783,0,3776,1
Played,4405655,20,3804,1,3777,1
Played,4405655,20,3787,0,19830,0
Played,4405655,20,3789,0,3775,1
Played,4405655,20,3795,0,3772,1
Played,4405655,20,3771,3,3774,0
Played,4405655,20,3779,0,3785,2
Played,4405655,19,3804,1,3799,2
Played,4405655,19,3776,1,3775,1
Played,4405655,19,3795,1,3771,3
Played,4405655,19,3783,1,3767,3
Played,4405655,19,3789,0,3770,1
Played,4405655,19,3772,0,3787,2
Played,4405655,19,3782,1,3785,2
Played,4405655,19,3779,0,3777,3
Played,4405655,19,19830,2,3774,1
Played,4405655,19,3780,1,3766,2
Played,4405655,18,3771,0,3766,2
Played,4405655,18,3772,0,3775,1
Played,4405655,18,3770,1,3799,0
Played,4405655,18,3777,3,3787,1
Played,4405655,18,3783,0,3785,0
Played,4405655,18,3804,3,3776,0
Played,4405655,18,3779,2,3780,1
Played,4405655,18,3795,1,3789,0
Played,4405655,18,3774,1,3767,4
Played,4405655,18,3782,0,19830,4
Played,4405655,17,3782,0,3771,3
Played,4405655,17,3770,1,3775,2
Played,4405655,17,3789,1,3766,2
Played,4405655,17,3799,1,3787,1
Played,4405655,17,3804,0,3785,4
Played,4405655,17,3777,1,3774,1
Played,4405655,17,3795,2,19830,3
Played,4405655,17,3783,0,3780,2
Played,4405655,17,3776,1,3767,3
Played,4405655,17,3772,0,3779,3
Played,4405655,16,3771,1,3787,1
Played,4405655,16,3783,1,3766,2
Played,4405655,16,3782,1,3770,1
Played,4405655,16,3780,0,3776,1
Played,4405655,16,3799,0,19830,1
Played,4405655,16,3777,1,3775,3
Played,4405655,16,3789,0,3774,2
Played,4405655,16,3795,0,3785,1
Played,4405655,16,3779,2,3767,1
Played,4405655,16,3804,3,3772,2
Played,4405655,15,3795,0,3767,2
Played,4405655,15,3799,1,3774,2
Played,4405655,15,3787,0,3785,0
Played,4405655,15,3776,2,3766,1
Played,4405655,15,3771,3,3777,0
Played,4405655,15,3770,1,19830,0
Played,4405655,15,3780,1,3775,2
Played,4405655,15,3782,0,3772,3
Played,4405655,15,3804,1,3789,2
Played,4405655,15,3783,0,3779,0
Played,4405655,14,19830,1,3767,2
Played,4405655,14,3771,1,3785,0
Played,4405655,14,3775,0,3766,5
Played,4405655,14,3783,1,3772,0
Played,4405655,14,3804,3,3780,1
Played,4405655,14,3789,2,3777,0
Played,4405655,14,3787,3,3776,0
Played,4405655,14,3795,3,3799,0
Played,4405655,14,3770,1,3774,2
Played,4405655,14,3782,2,3779,2
Played,4405655,8,3789,3,3776,0
Played,4405655,13,3772,1,3771,1
Played,4405655,13,3787,0,3766,0
Played,4405655,13,3783,1,3775,1
Played,4405655,13,3795,1,3804,3
Played,4405655,13,3799,1,3785,1
Played,4405655,13,3779,2,3774,1
Played,4405655,13,3780,0,3777,0
Played,4405655,13,3770,1,3767,4
Played,4405655,13,3789,1,19830,1
Played,4405655,13,3782,1,3776,3
Played,4405655,12,3782,0,3766,5
Played,4405655,12,3783,0,3771,5
Played,4405655,12,3777,0,3776,3
Played,4405655,12,3804,0,3775,1
Played,4405655,12,19830,6,3785,0
Played,4405655,12,3789,1,3787,1
Played,4405655,12,3780,1,3770,2
Played,4405655,12,3795,3,3779,0
Played,4405655,12,3799,0,3767,5
Played,4405655,12,3772,0,3774,1
Played,4405655,11,3771,1,3776,0
Played,4405655,11,3782,0,3780,0
Played,4405655,11,3777,0,3766,2
Played,4405655,11,3795,0,3783,1
Played,4405655,11,3804,1,3770,0
Played,4405655,11,3789,1,3785,1
Played,4405655,11,3787,0,3774,1
Played,4405655,11,3779,2,3799,2
Played,4405655,11,3772,0,19830,2
Played,4405655,11,3775,0,3767,3
Played,4405655,10,3771,2,3767,2
Played,4405655,10,3795,0,3766,5
Played,4405655,10,3779,2,3775,1
Played,4405655,10,3772,0,3789,1
Played,4405655,10,3780,1,3799,0
Played,4405655,10,3804,2,3777,1
Played,4405655,10,3770,2,3785,1
Played,4405655,10,3776,0,3774,1
Played,4405655,10,3783,0,19830,2
Played,4405655,10,3782,0,3787,1
Played,4405655,9,3779,3,3771,3
Played,4405655,9,3787,2,3775,0
Played,4405655,9,3772,1,3770,1
Played,4405655,9,3783,0,3799,2
Played,4405655,9,3785,2,3774,0
Played,4405655,9,3795,2,3776,2
Played,4405655,9,3782,3,3777,1
Played,4405655,9,3780,1,3789,0
Played,4405655,9,3804,1,3767,2
Played,4405655,9,3766,3,19830,2
Played,4405655,8,3771,4,3775,2
Played,4405655,8,3799,3,3766,3
Played,4405655,8,3795,2,3782,1
Played,4405655,8,3804,1,3779,1
Played,4405655,8,3780,1,3785,1
Played,4405655,8,3770,1,3777,0
Played,4405655,8,3783,1,3774,0
Played,4405655,8,3772,2,3767,6
Played,4405655,8,3787,1,19830,1
Played,4405655,7,3771,2,3780,0
Played,4405655,7,3779,1,3770,2
Played,4405655,7,3782,2,3774,2
Played,4405655,7,3772,3,3785,1
Played,4405655,7,3783,1,3789,0
Played,4405655,7,3804,3,3766,3
Played,4405655,7,3795,1,3777,0
Played,4405655,7,3787,0,3767,0
Played,4405655,7,3776,0,19830,4
Played,4405655,7,3799,2,3775,2
Played,4405655,6,3766,0,3767,2
Played,4405655,6,3799,0,3777,1
Played,4405655,6,3775,1,3774,0
Played,4405655,6,3771,2,3789,0
Played,4405655,6,3782,1,3804,0
Played,4405655,6,3776,0,3785,1
Played,4405655,6,3783,0,3770,1
Played,4405655,6,3795,0,3787,1
Played,4405655,6,3779,0,19830,3
Played,4405655,6,3772,1,3780,0
Played,4405655,5,3771,1,3774,3
Played,4405655,5,3766,2,3785,1
Played,4405655,5,3782,1,3799,1
Played,4405655,5,3783,2,3804,1
Played,4405655,5,3770,1,3787,0
Played,4405655,5,3779,0,3789,1
Played,4405655,5,3795,0,3780,0
Played,4405655,5,3775,4,19830,0
Played,4405655,5,3777,1,3767,5
Played,4405655,5,3772,0,3776,0
Played,4405655,4,3771,1,19830,6
Played,4405655,4,3799,1,3776,1
Played,4405655,4,3779,0,3785,2
Played,4405655,4,3789,3,3775,0
Played,4405655,4,3795,1,3772,2
Played,4405655,4,3783,1,3777,0
Played,4405655,4,3804,2,3787,1
Played,4405655,4,3780,3,3774,2
Played,4405655,4,3770,0,3766,0
Played,4405655,4,3782,0,3767,3
Played,4405655,3,3780,2,3767,6
Played,4405655,3,3771,1,3799,1
Played,4405655,3,3783,2,3776,0
Played,4405655,3,3779,1,3787,1
Played,4405655,3,3775,2,3785,0
Played,4405655,3,3804,2,3774,2
Played,4405655,3,3782,3,3789,0
Played,4405655,3,3795,0,3770,1
Played,4405655,3,3772,3,3766,3
Played,4405655,3,3777,0,19830,1
Played,4405655,2,3785,0,3767,3
Played,4405655,2,3804,1,19830,4
Played,4405655,2,3779,3,3776,0
Played,4405655,2,3789,0,3799,2
Played,4405655,2,3772,2,3777,0
Played,4405655,2,3782,1,3783,0
Played,4405655,2,3780,1,3787,0
Played,4405655,2,3771,1,3770,0
Played,4405655,2,3766,2,3774,1
Played,4405655,2,3795,2,3775,1
Played,4405655,1,3804,0,3771,3
Played,4405655,1,3772,2,3799,2
Played,4405655,1,3770,0,3776,3
Played,4405655,1,3779,0,3766,4
Played,4405655,1,3777,1,3785,3
Played,4405655,1,3783,0,3787,1
Played,4405655,1,3782,1,3775,0
Played,4405655,1,3795,1,3774,1
Played,4405655,1,3789,0,3767,2
Played,4405655,1,3780,2,19830,3
