status,roundId,gameweek,home_team_id,home_team_score,away_team_id,away_team_score
Played,4165368,0,9598,2,4418,4
Played,4165367,0,2413,0,5629,2
Played,4165366,0,2413,1,9598,1
Played,4165366,0,5629,0,4418,1
Played,4165365,0,14358,1,9598,1
Played,4165365,0,7047,0,2413,2
Played,4165365,0,6380,1,5629,2
Played,4165365,0,15670,0,4418,2
Played,4165364,0,2413,1,12430,1
Played,4165364,0,7047,1,6697,0
Played,4165364,0,12913,2,5629,3
Played,4165364,0,15473,0,6380,2
Played,4165364,0,7712,1,9598,1
Played,4165364,0,14358,1,1598,1
Played,4165364,0,9905,1,15670,2
Played,4165364,0,12274,3,4418,4
Played,4165363,3,2413,0,5629,1
Played,4165363,3,17929,1,16276,2
Played,4165363,3,12913,0,13869,1
Played,4165363,3,19314,0,12430,1
Played,4165363,3,17322,0,6380,2
Played,4165363,3,16871,2,6697,2
Played,4165363,3,15473,0,7047,3
Played,4165363,3,3148,0,14855,2
Played,4165363,3,16823,1,12274,2
Played,4165363,3,7839,1,9598,2
Played,4165363,3,8493,0,15594,2
Played,4165363,3,7712,0,4418,0
Played,4165363,3,16216,2,1598,2
Played,4165363,3,10840,1,9905,1
Played,4165363,3,16521,2,16129,1
Played,4165363,3,14358,0,15670,3
Played,4165363,2,13869,0,12430,3
Played,4165363,2,19314,2,12913,2
Played,4165363,2,2413,6,17929,1
Played,4165363,2,3148,2,7047,1
Played,4165363,2,15473,2,14855,1
Played,4165363,2,16276,2,5629,5
Played,4165363,2,17322,1,6697,2
Played,4165363,2,7839,0,16823,2
Played,4165363,2,16871,0,6380,2
Played,4165363,2,12274,0,9598,3
Played,4165363,2,15594,0,4418,1
Played,4165363,2,8493,1,7712,1
Played,4165363,2,10840,0,1598,1
Played,4165363,2,16521,0,15670,1
Played,4165363,2,16216,0,9905,1
Played,4165363,2,14358,3,16129,1
Played,4165363,1,19314,2,13869,1
Played,4165363,1,12913,2,12430,1
Played,4165363,1,2413,2,16276,1
Played,4165363,1,17929,0,5629,3
Played,4165363,1,7047,1,14855,0
Played,4165363,1,6697,1,6380,1
Played,4165363,1,3148,0,15473,1
Played,4165363,1,16871,0,17322,1
Played,4165363,1,16823,0,9598,2
Played,4165363,1,7712,1,15594,0
Played,4165363,1,7839,1,12274,1
Played,4165363,1,8493,1,4418,2
Played,4165363,1,9905,3,1598,3
Played,4165363,1,10840,1,16216,0
Played,4165363,1,16129,0,15670,1
Played,4165363,1,14358,5,16521,0
