passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,wyId,foot,shortName,currentNationalTeamId
Turkey,78,Harun,,Tekin,4502,1989-06-17,187,Goalkeeper,Turkey,32777,right,H. Tekin,4687
Senegal,73,Malang,,Sarr,3775,1999-01-23,182,Defender,France,393228,left,M. Sarr,4423
France,72,Over,,Mandanda,3772,1998-10-26,176,Goalkeeper,France,393230,,O. Mandanda,null
Senegal,82,Alfred John Momar,,N'Diaye,683,1990-03-06,187,Midfielder,France,32793,right,A. N'Diaye,19314
France,84,Ibrahima,,Konat\u00e9,2975,1999-05-25,192,Defender,France,393247,right,I. Konat\u00e9,null
Netherlands,83,Jasper,,Cillessen,676,1989-04-22,185,Goalkeeper,Netherlands,33,right,J. Cillessen,664
Belgium,91,Toby,,Alderweireld,1624,1989-03-02,187,Defender,Belgium,36,right,T. Alderweireld,5629
Belgium,88,Jan,,Vertonghen,1624,1987-04-24,189,Defender,Belgium,48,left,J. Vertonghen,5629
France,74,Alexander,,Djiku,3783,1994-08-09,182,Defender,France,229427,right,A. Djiku,null
Denmark,76,Christian ,,Dannemann Eriksen,1624,1992-02-14,180,Midfielder,Denmark,54,right,C. Eriksen,7712
Austria,74,Marcel,,Sabitzer,2975,1994-03-17,177,Midfielder,Austria,65596,right,M. Sabitzer,null
Iceland,84,Kolbeinn,,Sig\u00fe\u00f3rsson,3770,1990-03-14,186,Forward,Iceland,66,right,K. Sig\u00fe\u00f3rsson,null
France,74,Charles,,Traor\u00e9,3795,1992-01-01,180,Defender,Mali,393284,left,C. Traor\u00e9,null
Finland,75,Niklas,,Moisander,2443,1985-09-29,183,Defender,Finland,77,left,N. Moisander,4849
Cura\u00e7ao,91,Charlison,,Benschop,2455,1989-08-21,191,Forward,Cura\u00e7ao,91,right,C. Benschop,18138
Iceland,77,Johann ,,Berg Gu\u00f0munds\u00adson,1646,1990-10-27,186,Midfielder,Iceland,93,left,J. Gu\u00f0munds\u00adson,7839
Poland,83,Przemys\u0142aw,,Tyto\u0144,677,1987-01-04,194,Goalkeeper,Poland,99,right,P. Tyto\u0144,null
Brazil,85,Marcelo Ant\u00f4nio,,Guedes Filho,3766,1987-05-20,191,Defender,Brazil,102,right,Marcelo,null
Cura\u00e7ao,65,Jetro,,Willems,2462,1994-03-30,169,Defender,Netherlands,110,left,J. Willems,null
Iraq,78,Ali Adnan Kadhim,,Al Tameemi,3163,1993-12-19,186,Defender,Iraq,131184,left,Ali Adnan,17759
Netherlands,78,Kevin,,Strootman,3158,1990-02-13,186,Midfielder,Netherlands,114,left,K. Strootman,null
Ghana,78,Memphis,,Depay,3766,1994-02-13,176,Forward,Netherlands,118,right,M. Depay,664
Belgium,61,Dries,,Mertens,3187,1987-05-06,169,Forward,Belgium,122,right,D. Mertens,5629
Sweden,78,Ola,,Toivonen,3780,1986-07-03,192,Forward,Sweden,123,right,O. Toivonen,7047
Netherlands,78,Stefan,,de Vrij,3162,1992-02-05,189,Defender,Netherlands,130,right,S. de Vrij,null
Morocco,78,Karim,,El Ahmadi Al Aroos,16469,1985-01-27,179,Midfielder,Netherlands,142,right,K. El Ahmadi,16216
Sweden,79,John,,Guidetti,696,1992-04-15,185,Forward,Sweden,151,right,J. Guidetti,7047
Turkey,86,Volkan,,Babacan,4535,1988-08-11,192,Goalkeeper,Turkey,32923,right,V. Babacan,4687
Netherlands,78,Jeffrey,,Gouweleeuw,2481,1991-07-10,188,Defender,Netherlands,159,right,J. Gouweleeuw,null
Serbia,72,Filip,,\u0110uri\u010di\u0107,3219,1992-01-30,181,Midfielder,Serbia,174,right,F. \u0110uri\u010di\u0107,null
Slovakia,70,Peter,,Pekar\u00edk,2457,1986-10-30,176,Defender,Slovakia,32959,right,P. Pekar\u00edk,14496
Serbia,93,Jago\u0161,,Vukovi\u0107,3194,1988-06-10,195,Defender,Serbia,192,left,J. Vukovi\u0107,null
Morocco,77,Nordin,,Amrabat,16470,1987-03-31,178,Forward,Netherlands,32968,right,N. Amrabat,16216
C\u00f4te d'Ivoire,72,Christian,,Kouakou Yao,3783,1991-03-01,182,Forward,C\u00f4te d'Ivoire,131321,right,C. Kouakou,null
Venezuela,71,Roberto Jos\u00e9,,Rosales Altuve,683,1988-11-20,175,Defender,Venezuela,254,right,R. Rosales,null
Morocco,80,Nacer,,Chadli,1627,1989-08-02,187,Midfielder,Belgium,261,right,N. Chadli,5629
Netherlands,76,Robin,,Gosens,3172,1994-06-05,183,Defender,Germany,295176,left,R. Gosens,null
Morocco,78,Yacine,,Bammou,3770,1991-09-11,188,Forward,France,229697,right,Y. Bammou,null
France,86,Florian,,Le Joncour,3783,1995-02-03,193,Defender,France,328021,left,F. Le Joncour,null
Brazil,78,Andr\u00e9,,Ramalho Silva,8743,1992-02-16,182,Defender,Brazil,65880,right,Andr\u00e9 Ramalho,null
Italy,69,Davide,,Borsellini,3163,1999-01-04,180,Goalkeeper,Italy,393566,left,D. Borsellini,null
Nigeria,81,Leon-Aderemi,,Balogun,1651,1988-06-28,190,Defender,Germany,16443,right,L. Balogun,16823
Ghana,70,Godfred,,Donsah,3166,1996-06-07,175,Midfielder,Ghana,295273,right,G. Donsah,17527
Korea Republic,82,Hyun-Jun,,Suk,3795,1991-06-29,190,Forward,Korea Republic,382,right,Suk Hyun-Jun,null
Serbia,76,Du\u0161an,,Tadi\u0107,9,1988-11-20,181,Midfielder,Serbia,383,left,D. Tadi\u0107,17322
Netherlands,80,Bram,,Nuytinck,3163,1990-05-04,190,Defender,Netherlands,394,left,B. Nuytinck,null
